"vessel_code","datetime","latitude","longitude","power","fuel_consumption","actual_speed_overground","proposed_speed_overground","predicted_fuel_consumption"
"3001","2023-10-06 02:46:00","44.6967582702637","-51.2312393188477","4900.57","16.8367","9.01998","8.35996366273612","16.6130224563181"
"3001","2023-10-06 02:47:00","44.6951103210449","-51.2285614013672","4830.26","15.9697","8.93999","9.59738914649934","15.8298072734848"
"3001","2023-10-06 02:48:00","44.6934852600098","-51.2258491516113","4786.87","16.2725","8.89999","9.82087713554501","15.1558438915759"
"3001","2023-10-06 02:49:00","44.6919746398926","-51.2230491638184","5106.53","17.0942","8.87999","8.31398695781827","16.160766893439"
"3001","2023-10-06 02:50:00","44.6905746459961","-51.2201995849609","5211.52","16.9652","8.83998","9.34779253676534","15.8386339548975"
"3001","2023-10-06 02:51:00","44.6891403198242","-51.2173538208008","5291.39","17.1382","8.89999","8.20036370195448","17.1929775713012"
"3001","2023-10-06 02:52:00","44.6876068115234","-51.2145881652832","5315.01","17.633","8.89999","9.5235828531906","17.6925323739648"
"3001","2023-10-06 02:53:00","44.685920715332","-51.2120056152344","4969.98","15.8873","8.93999","8.38608862906694","14.8518026512116"
"3001","2023-10-06 02:54:00","44.684139251709","-51.2095375061035","4810.8","16.1412","8.91999","8.96362147182226","14.302943935059"
"19310","2023-10-06 02:54:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 02:55:00","44.6824035644531","-51.2070426940918","4749.75","16.2793","8.89999","8.62661651410162","15.9892082376406"
"3001","2023-10-06 02:56:00","44.6808166503906","-51.2044219970703","4961.8","16.8702","8.65998","9.35514439623803","16.3028633765876"
"3001","2023-10-06 02:57:00","44.6794586181641","-51.2016143798828","5391.29","18.2123","8.55998","8.6272824563086","16.9609072249383"
"3001","2023-10-06 02:58:00","44.6781883239746","-51.1987648010254","5339.2","17.137","8.57998","9.16170969307423","16.373948147893"
"3001","2023-10-06 02:59:00","44.6767578125","-51.1960258483887","5521.05","18.4242","8.67999","9.46382283493876","16.8338543953374"
"3001","2023-10-06 03:00:00","44.6751976013184","-51.1933746337891","5264.92","17.0215","8.75998","9.89533243309706","16.0279516879469"
"3001","2023-10-06 03:01:00","44.6734161376953","-51.1908950805664","4847.12","15.437","8.79998","9.39775279890746","15.1237156944349"
"3001","2023-10-06 03:02:00","44.671573638916","-51.188549041748","4521.68","15.2043","8.91998","9.76037871539593","13.340646045655"
"3001","2023-10-06 03:03:00","44.6698684692383","-51.186092376709","4791.78","16.2825","8.65998","8.62023481149226","16.1566682452336"
"19310","2023-10-06 03:04:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
